1a|Wo Sool onamang soo ti dong iide Etiyeng me.
27c|Wedeʼng geng yong wede goole wo kokkiso ti siido kʼEtiyopi, yi naabiya ti Kandas mohita kʼEtiyopi, wede yeeriyo korbite tode, yi tʼiide Zeruzalem ottilso a Raa.
28|Konso adda puusadi yi-kime ki siidadi, wo yi gariya mattup ki nebi Ezayi.
29a|Unde Raa ti di ruute a Pilip, tʼede:
29b|Kʼa naara, ki yʼoonoy wede puus geng me.
30a|Mang Pilip yʼa-niire, yʼiideʼng yʼa yi ziida wede suma adda puusadi geng me, yʼollige yi gariya mattup ki nebi Ezayi, mang yʼa yi tunde, yʼede:
30b|Ki gariya geng, munda ki yi suuniyo dey ko?
31a|Wede yi diʼn gime onami, yʼede:
31b|De nʼa suune mummino, wenda yʼa kiʼn ziipe urzi ye mang?
31c|Mang wede yi di ruute Pilip, yʼede:
31d|Kʼedi, kʼa ti koli adda puus, kʼa-koona a sirpa nuuno.
32a|En̰n̰o ume wede yi gariya an riinge ti kaaga adda mattup ki Raa me:
32b|Yong aa damu wede an arkudu ki towwo,
32c|wo aa ulo ki damu wede an dekkiso ilali wo yi ki moolo ye,
32d|ingkino kay yode tong bizi yi kʼihina ye.
33a|An di-dʼele sukiyagi, derec ki yode an i-ki tʼele ye,
33b|wee wee a roota suma kʼin̰n̰izi me,
33c|lekkiyadi a siido an i-ti dikke.
34a|Wede suma geng yʼa tunde Pilip, yʼede:
34b|Kee kʼollo do, nebi yi rootiyo ingkino tʼaaye ti yode batum kunung, ti wenda doolo ko?
35|Ingkino mang Pilip yʼa tʼihina bizi, wo tʼurzi gariya mattup gette yi di gizite Rabila Majjaanawa kʼIsa.
36a|An iide kee mang, an dʼuune ahu.
36b|A ume geng wede suma yʼa ruute, yʼede:
36c|Ki wollo kay eng ahu, de moo sey aa biite kʼa tiʼn suyye batem me? [
37a|Pilip yi di ruute, yʼede:
37b|Aame kee ki ziipe addaʼng pay a Isa mang, nʼa ki ti suyye batem.
37c|Mang wede yi diʼn gime onami, yʼede:
37d|Nʼumbe, Isa Almasi yong Ulo Raa.]
38a|Ingkino mang Pilip yi di ruute a wede tuuliyo, yʼede:
38b|Puusada ki-tʼohor.
38c|Mang Pilip kane ti wede suma an di-diige tʼekki puus me, an di-diige kʼadda kʼahu, Pilip yʼa ti yʼ zuyye batem.
39a|Aame an tʼudde tʼadda kʼahu mang, Unde Galmeega tʼa ti yʼ n̰ukkide Pilip me.
39b|Wo yo wede suma geng yi ki yʼ wulle ye baa, ingkino yʼa inggile ki daanadi ti ungsuwo.
40|Wo yo Pilip yi wolliyoʼng yo a Azot, mang yi dʼettiyo geeger ti geeger, yi kazita Rabila Majjaanawa adda geegiryagi pay bini yʼa dʼiiney Sezare.
